iter	Passed	Remaining
0	1	133
1	2	116
2	3	108
3	4	99
4	5	97
5	6	94
6	7	94
7	8	93
8	9	91
9	10	91
10	11	89
11	11	87
12	12	85
13	13	84
14	14	82
15	15	80
16	16	79
17	17	78
18	18	77
19	19	76
20	19	75
21	20	73
22	21	73
23	22	72
24	23	71
25	24	70
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
